event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,comments,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,MODIS Land Vegetation Indices 500m 16d Terra NDVI
2259248592,TRUE,2015-04-10 19:00:00.000,-122.5889369,56.28957329,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.009659247
2259248593,TRUE,2015-05-10 19:00:00.000,-122.7517848,56.25633255,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.398308458
2259248594,TRUE,2015-06-18 19:00:00.000,-122.9632738,56.19473485,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.73085066
2259248595,TRUE,2015-07-16 19:00:00.000,-122.9660809,56.1912496,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.79946936
2259248596,TRUE,2015-08-12 19:00:00.000,-123.0258059,56.20329999,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.798771167
2259248597,TRUE,2015-09-18 19:00:00.000,-122.9426735,56.20909348,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.386933197
2259248598,TRUE,2015-11-20 19:00:00.000,-122.585282,56.29590424,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.006102972
2259248599,TRUE,2015-12-20 19:00:00.000,-122.5617019,56.26817732,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.023684429
2259248600,TRUE,2016-01-17 19:00:00.000,-122.5542189,56.2563178,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.134251599
2259248601,TRUE,2016-02-25 19:00:00.000,-122.5919998,56.29928679,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC01,GR_GC01,Mountain caribou in British Columbia,0.126626188
2259248602,TRUE,2015-04-10 19:00:00.000,-122.5889369,56.28957329,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.009659247
2259248603,TRUE,2015-05-10 19:00:00.000,-122.6046665,56.31827633,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.340664994
2259248604,TRUE,2015-06-18 19:00:00.000,-122.6526308,56.24384794,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.624601516
2259248605,TRUE,2015-07-16 19:00:00.000,-122.6138371,56.2457725,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.691419901
2259248606,TRUE,2015-08-12 19:00:00.000,-122.556,56.30880345,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.706009851
2259248607,TRUE,2015-09-18 19:00:00.000,-122.6240396,56.30131987,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.623962464
2259248608,TRUE,2015-10-17 19:00:00.000,-122.5222729,56.30964832,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.544523903
2259248609,TRUE,2015-11-20 19:00:00.000,-122.5839401,56.28854134,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,-0.022371864
2259248610,TRUE,2015-12-20 19:00:00.000,-122.5878658,56.2930288,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,-0.051435552
2259248611,TRUE,2016-01-17 19:00:00.000,-122.5703226,56.2841373,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.009642316
2259248612,TRUE,2016-02-25 19:00:00.000,-122.6028329,56.29711179,,Graham,Winter,radio-transmitter,Rangifer tarandus,GC02,GR_GC02,Mountain caribou in British Columbia,0.023863437
2259248613,TRUE,2015-04-10 19:00:00.000,-122.587303,56.28828306,,Graham,Summer,radio-transmitter,Rangifer tarandus,GC03,GR_GC03,Mountain caribou in British Columbia,0.026237606
